NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;3511-06;MANGUERA R2AT 3/8;28/08/2008;81;000881;0,72;0,72;20;01;16;4;8,35;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;28/08/2008;81;000881;2;2;20;01;16;4;0,79;00010;N
01;01;22511-06-06;ESPIGA RECTA T.L. JIC 3/8;28/08/2008;81;000881;1;1;20;01;16;4;1,23;00015;N
01;01;22591-06-06;ESPIGA 90º T.L. JIC 3/8;28/08/2008;81;000881;1;1;20;01;16;4;2,36;00020;N
01;01;3511-12;MANGUERA R2AT 3/4;28/08/2008;81;000882;2,4;2,4;0;01;16;4;14,57;00005;N
01;01;3300-12;CASQUILLO R1AT 3/4;28/08/2008;81;000882;2;2;0;01;16;4;2,32;00010;N
01;01;20511-12-12;ESPIGA RECTA T.L. BSP 3/4;28/08/2008;81;000882;1;1;0;01;16;4;3,01;00015;N
01;01;20591-12-12;ESPIGA 90º T.L. BSP 3/4-3/4;28/08/2008;81;000882;1;1;0;01;16;4;5,48;00020;N
01;01;4908-549-270-90;ABRAZADERA ZEBRA NIROSTA 12 MM.;28/08/2008;81;000882;3;3;0;01;16;4;1,56864;00025;N
01;01;JUNTA;PAPEL PARA JUNTAS M2;01/09/2008;81;000883;0,1;0,1;15;01;16;4;95,98;00005;N
01;01;PAPEL-08;PAPEL JUNTA 0.9-8 MM.;01/09/2008;81;000883;0,1;0,1;15;01;16;4;13,7;00010;N
01;01;22511-08-10;ESPIGA RECTA T.L. JIC 1/2-5/8;28/08/2008;81;000885;1;1;20;01;16;4;2,18;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;29/08/2008;81;000886;1;1;15;01;16;4;0,82;00005;N
01;01;20511-06-06;ESPIGA RECTA T.L. BSP 3/8;29/08/2008;81;000886;1;1;15;01;16;4;1,23;00010;N
01;01;4738-IS7520;FILTRO DESOLEADOR;29/08/2008;82;000280;-1;-1;20;;;;48,48;00005;N
01;01;4738-IH3510;FILTRO HIDRAULICO   BT8472  S8002RH;29/08/2008;82;000280;-1;-1;20;;;;9;00010;N
01;01;4738-IS7535;FILTRO DESOLEADOR;29/08/2008;82;000280;1;1;20;;;;44,7;00015;N
01;01;4738-BT8384;FILTRO HIDRAULICO;29/08/2008;82;000280;1;1;20;;;;13,75;00020;N
01;01;4903-20981;BATERIA 98 AH + IZQ;29/08/2008;81;000887;2;2;15;01;16;4;129,3;00005;N
01;01;2230-08;MANGUERA R1AT 1/2;29/08/2008;81;000888;0,5;0,5;20;01;16;4;7,69;00005;N
01;01;3300-08;CASQUILLO R1AT 1/2;29/08/2008;81;000888;2;2;20;01;16;4;1,26;00010;N
01;01;12510-08-10;ESPIGA RECTA JIC 1/2-5/8;29/08/2008;81;000888;1;1;20;01;16;4;1,88;00015;N
01;01;22511-08-10;ESPIGA RECTA T.L. JIC 1/2-5/8;29/08/2008;81;000888;1;1;20;01;16;4;1,97;00020;N
01;01;1063-16X24;MANGUERA ACEITE HYDRO´K;01/09/2008;82;000281;0,5;0,5;15;;;;5,45;00005;N
01;01;4908-549-216-25;ABRAZADERA ZEBRA NIROSTA 12 MM.;01/09/2008;82;000281;2;2;15;;;;0,90152;00010;N
01;01;4900-2411;FORMADOR DE JUNTAS 50 ML;01/09/2008;81;000889;1;1;15;01;16;4;7;00005;N
01;01;3X29;TORICA NITRILO;01/09/2008;81;000890;10;10;0;01;16;4;1,1;00005;N
01;01;3.53X50.39;TORICA NITRILO;01/09/2008;81;000890;3;3;0;01;16;4;1,73;00010;N
01;01;4903-334;BATERIA 90 +I;01/09/2008;81;000891;1;1;15;01;16;4;110,02;00005;N
01;01;2900-08;MANGUERA TEFLON LISO 1/2;02/09/2008;81;000892;0,45;0,45;15;01;16;4;20,75;00005;N
01;01;500-08;CASQUILLO TEFLON 1/2;02/09/2008;81;000892;2;2;15;01;16;4;1,8;00010;N
01;01;11110-08-22;MACHO METRICO S.LIGERA 1/2;02/09/2008;81;000892;2;2;15;01;16;4;1,8;00015;N
01;01;4250-16;MANGUERA R12 1";02/09/2008;82;000282;2,45;2,45;15;;;;33,65;00005;N
01;01;9900-16;CASQUILLO R9 1";02/09/2008;82;000282;2;2;15;;;;5,6;00010;N
01;01;25512-16-16;MULTIESPIGA RECTA T.L. BSP 1";02/09/2008;82;000282;2;2;15;;;;7,95;00015;N
01;01;3511-12;MANGUERA R2AT 3/4;02/09/2008;81;000893;0,9;0,9;20;01;16;4;14,6;00005;N
01;01;3300-12;CASQUILLO R1AT 3/4;02/09/2008;81;000893;2;2;20;01;16;4;2,35;00010;N
01;01;20511-12-12;ESPIGA RECTA T.L. BSP 3/4;02/09/2008;81;000893;1;1;20;01;16;4;3,05;00015;N
01;01;20591-12-12;ESPIGA 90º T.L. BSP 3/4-3/4;02/09/2008;81;000893;1;1;20;01;16;4;5,5;00020;N
01;01;3511-08;MANGUERA R2AT 1/2;02/09/2008;81;000893;1,75;1,75;20;01;16;4;9,95;00025;N
01;01;3300-08;CASQUILLO R1AT 1/2;02/09/2008;81;000893;2;2;20;01;16;4;1,3;00030;N
01;01;20511-08-08;ESPIGA RECTA T.L. BSP 1/2;02/09/2008;81;000893;1;1;20;01;16;4;1,65;00035;N
01;01;20591-08-08;ESPIGA 90º T.L. BSP 1/2;02/09/2008;81;000893;1;1;20;01;16;4;3;00040;N
