CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
101;09/03/2009;91;000016;SACAR CAJA CAMBIO DE CAMION, DESPIECE DE LA MISMA  , REPARACION Y MONTAJE EN CAMION ;100;0;01;16;4;28;01;005
800;09/03/2009;91;000017;SACAR CAJA DE CAMBIO DEL CAMION TRASLADO AL TALLER  Y DESPIECE DE LA MISMA;50;0;01;16;4;28;01;005
800;10/03/2009;91;000018;DESPLAZ. A PLANTA MONTAJE DE DOS CADENAS NUEVAS EN  RUEDAS DELANTERAS ;1;0;01;16;4;800;01;005
800;16/03/2009;91;000023;DESPLAZAMIENTO A FABRICA, DESMONTAR CARDAN PARA SU REPARACION EN TALLER Y COLOCACION EN MAQUINA UNA VEZ REPARADO. HACER NIVEL ACEITE TRANSMISION;13;0;01;16;4;28;01;005
800;17/03/2009;91;000024;DESPLAZAMIENTO A PLANTA DESMONTAR BOTELLAS , VASTAGOS , COLOCACION DE NUEVO, KIT DE JUNTAS Y MONTAJE EN MAQUINA;20;0;01;16;4;28;01;005
800;17/03/2009;91;000025;DESPLAZAMIENTO A PLANTA , DESMONTAR BOTELLAS TRASLADO AL TALLER , CONSTRUCCION DE VASTAGOS , MONTAJE , COLOCACION DE KIT REPARACION Y MONTAJE , TRASLADO A PLANTA Y MONTAJE DE BOTELLAS;20;0;01;16;4;28;01;005
100;20/03/2009;91;000027;DESPIECE DE TRANSMISION, LIMPIEZA DE PIEZAS, SACAR PEDIDOS DE PIEZAS DEFCTUOSAS, COLOCACION DE PIEZAS NUEVAS Y MONTAJE EN TALLER;49;0;01;16;4;28;01;005
800;23/03/2009;91;000029;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 DAR VUELTA A CANTONERAS Y SUSTITUIR TORNILLOS.;14;0;01;16;4;28;01;005
800;25/03/2009;91;000034;DESPLAZAMIENTO A CANTERA, SUSTITUCION DE TURBO Y JUNTAS.;5;0;01;16;4;28;01;005
800;25/03/2009;91;000035;DESPLAZAMIENTO A CANTERA PARA SUSTITUCION DE TURBO.;5;0;01;16;4;28;01;005
800;26/03/2009;91;000038;LAVAR MAQUINA , DESMONTAR CHAPONES , DESMONTAR MOTOR DE MAQUINA PARA SU TRASLADO AL TALLER;48;0;01;16;4;28;01;005
800;26/03/2009;91;000040;DESPLAZAMIENTO A FABRICA, LIMPIEZA DE MAQUINA, DESMONTAR CHAPONES, SACAR MOTOR DE MAQUINA PARA SU TRASLADO AL TALLER Y REPARACION. COLOCACION DE MOTOR UNA VEZ REPARADO, ARRANQUE Y PRUEBA DE MAQUINA;90;0;01;16;4;28;01;005
