CODALM;CODPDT;LOCALIZ;SISVAL;PVP1;PVP2;PVP3;PVP4;PVP5;PRESTA;PREULT;PREMED;CANEXI;CODPRV;STOCKMIN;STOCKMAX
01;4913-02;E;M;240,40484;0;0;0;0;0;180,30363;180,30363;0;124;0;0
01;4913-03;E;M;1983,33994;0;0;0;0;0;1382,32784;1382,32784;0;124;0;0
01;1852-123;E;M;49,07264;0;0;0;0;0;26,25386;0,159;0;00001;0;0
01;1852-124;E;M;51,83729;0;0;0;0;0;27,73295;0,165;0;00001;0;0
01;1852-125;E;M;64,18809;0;0;0;0;0;34,34063;0,204;0;00001;0;0
01;9H0415;E;M;13,8437;0;0;18,31284;12,34;0;9,26;9,26;0;2;0;0
01;4201-6-100;010206;M;0,09015;0;0,09;0;0,09;0;0;0,02279;1080;17;0;0
01;87753;090503;M;97,81472;0;0;0;0;0;69,36642;0;0;6;0;0
01;457.176;E;M;20,30219;0;0;0;0;0;10,15109;10,15109;0;22;0;0
01;669.366;E;M;6,32;6,32;6,32;6,32;6,32;0;0;0;0;22;0;0
01;727-8-8;E;M;6,8275;0;0;0;0;0;3,31314;3,31458;0;00001;0;0
01;6P5084;;M;0;0;0;0;0;0;0;0;0;2;0;0
01;7S6892;;M;0;0;0;0;0;0;0;0;0;2;0;0
01;4202-10-150X40;010204;M;0,636;0,636;0,636;0,636;0,636;0;0;0,2336;227;94;0;0
01;1P5909;;M;89,94747;0;0;0;0;0;60,16131;0;0;2;0;0
01;85573N;E;M;211,95;0;211,95;0;211,95;0;153,32059;153,31818;0;6;0;0
01;91409;E;M;94,58127;0;0;0;0;0;65,794;65,79279;0;6;0;0
01;1543268C1;E;M;62,48;0;62,48;0;0;0;41,79;41,79;0;37;0;0
01;4901-REGUL/28860;E;M;69,7715;0;0;0;0;0;53,17154;53,17154;0;30;0;0
01;4901-PL/DIODO;E;M;72,03731;0;0;0;0;0;49,87199;49,87199;0;30;0;0
01;4901-62303;E;M;25,62716;0;0;0;0;0;17,74188;17,74188;0;30;0;0
01;4901-6201;E;M;7,69295;0;0;0;0;0;6,92366;6,92366;0;30;0;0
